month,total_cases
2020/01,3.1995585706164057e-7
2020/02,1.5083633261477342e-6
2020/03,0.005771500873616614
2020/04,0.036412713436838745
2020/05,0.03942198968846264
2020/06,0.033821848030292326
2020/07,0.07626554654082468
2020/08,0.08138557158148421
2020/09,0.05149575249458155
2020/10,0.06717560064170347
2020/11,0.21447175882202857
2020/12,0.257220009600504
2021/01,0.3187028642174076
2021/02,0.11276423668725384
2021/03,0.07322911974933012
2021/04,0.08132464284470375
2021/05,0.0545525193369893
2021/06,0.01677213173515078
2021/07,0.04411519361580194
2021/08,0.19615405746535175
2021/09,0.18541757301781175
2021/10,0.13962133132900795
2021/11,0.10680405327393003
2021/12,0.17837603022357876
2022/01,1
2022/02,0.20921684953362776
2022/03,0.044293317612226116
2022/04,0.0431627764452886
2022/05,0.13366736420090705
2022/06,0.12791670616597903
2022/07,0.19482788614581084
2022/08,0.12546488443331566
2022/09,0.082525665716154
2022/10,0.06362495907993128
2022/11,0.05143774906849423
2022/12,0.07856493216158794
2023/01,0.08752625580617038
2023/02,0.04960092820108293
2023/03,0.030990101571358064
2023/04,0.02600043568846136
2023/05,0.007789782419961443
2023/06,0
2023/07,0
2023/08,0
2023/09,0
2023/10,0
2023/11,0
2023/12,0
2024/01,0
